TEXT_2_WARPOD_SQUADRON,#2 Warpod-Staffel
TEXT_MORNINGSTAR_A_SQUADRON_HALF,MorningStar-A Sternenjäger-Staffel 1/2
TEXT_MORNINGSTAR_A_SQUADRON2,MorningStar-A Sternenjäger-Staffel x2
TEXT_MORNINGSTAR_B_SQUADRON,MorningStar-B Sternenjäger-Staffel
TEXT_MORNINGSTAR_B_SQUADRON_HALF,MorningStar-B Sternenjäger-Staffel 1/2
TEXT_MORNINGSTAR_B_SQUADRON2,MorningStar-B Sternenjäger-Staffel x2
TEXT_MORNINGSTAR_C_SQUADRON,MorningStar-C Sternenjäger-Staffel
TEXT_MORNINGSTAR_C_SQUADRON_HALF,MorningStar-C Sternenjäger-Staffel 1/2
TEXT_MORNINGSTAR_C_SQUADRON2,MorningStar-C Sternenjäger-Staffel x2
TEXT_N1_SQUADRON,N-1 Sternenjäger-Staffel
TEXT_N1_SQUADRON_HALF,N-1 Sternenjäger-Staffel 1/2
TEXT_N1_SQUADRON2,N-1 Sternenjäger-Staffel x2
TEXT_PIRATE_BASE,Piraten-Unterschlupf-Basis
TEXT_R22_SPEARHEAD_SQUADRON,R-22 Spearhead-Staffel
TEXT_R22_SPEARHEAD_SQUADRON_HALF,R-22 Spearhead-Staffel 1/2
TEXT_R22_SPEARHEAD_SQUADRON2,R-22 Spearhead-Staffel x2
TEXT_REBEL_TANK_BUSTER_SQUAD,Panzerschreck-Team
TEXT_STATBLOCK_AGGRESSORFIGHTER_BASE,Gesundheit: 22 | Schilde: 10
TEXT_STATBLOCK_AGGRESSORFIGHTER_MOVE,Geschwindigkeit: 5,6 | Wendigkeit: 5,28
TEXT_STATBLOCK_AGGRESSORFIGHTER_SQUADRON,Geschwader: 12x Aggressor-Angriffsjäger
TEXT_STATBLOCK_AGGRESSORFIGHTER_SQUADRON_DOUBLE,Geschwader: 24x Aggressor-Angriffsjäger
TEXT_STATBLOCK_AGGRESSORFIGHTER_SQUADRON_HALF,TGeschwader: 6x Aggressor-Angriffsjäger
TEXT_STATBLOCK_AGGRESSORFIGHTER_WEAP1,1x Schwerer Jäger-Laserkanone: 4 / 2,0 s / 1,0 km
TEXT_STATBLOCK_AGGRESSORFIGHTER_WEAP2,1x Jäger-Ionenkanone: 4 / 3,0 s / 1,0 km
TEXT_STATBLOCK_ARC170_BASE,Gesundheit: 18 | Schilde: 12
TEXT_STATBLOCK_ARC170_MOVE,Geschwindigkeit: 3,9 | Manövrierfähigkeit: 3,25
TEXT_STATBLOCK_ARC170_SQUADRON,Staffel: 12x - ARC-170
TEXT_STATBLOCK_ARC170_SQUADRON_DOUBLE,Staffel: 24x - ARC-170
TEXT_STATBLOCK_ARC170_SQUADRON_HALF,Staffel: 6x - ARC-170
TEXT_STATBLOCK_ARC170_WEAP1,1x schweres Kampf-Laserkanone: 4 / 2,0s / 1,1km
TEXT_STATBLOCK_ARC170_WEAP2,1x Heck-Kampf-Laserkanone: 2 / 2,0s / 1,0km
TEXT_STATBLOCK_ARC170_WEAP3,1x Kampf-Concussion-Rakete (AF): 1 / 37,5s / 1,8km
TEXT_STATBLOCK_ARC170_WEAP4,1x Kampf-Protonen-Torpedo (AC): 1 / 37,5s / 1,8km
TEXT_STATBLOCK_ATL_INTERCEPTOR_BASE,Gesundheit: 7 | Ungepanzert
TEXT_STATBLOCK_ATL_INTERCEPTOR_MOVE,Geschwindigkeit: 4,5 | Wendigkeit: 5,1
TEXT_STATBLOCK_ATL_INTERCEPTOR_SQUADRON,Staffel: 12x - ATL-Abfangjäger
TEXT_STATBLOCK_ATL_INTERCEPTOR_SQUADRON_DOUBLE,Staffel: 24x - ATL-Abfangjäger
TEXT_STATBLOCK_ATL_INTERCEPTOR_SQUADRON_HALF,Staffel: 6x - ATL-Abfangjäger
TEXT_STATBLOCK_ATL_INTERCEPTOR_WEAP1,1x Jäger-Laserkanone: 4 / 2,0s / 1,0km
TEXT_STATBLOCK_BTLB_YWING_SQUADRON,Staffel: 12x - BTL-B Y-Flügler
TEXT_STATBLOCK_BTLB_YWING_SQUADRON_DOUBLE,Staffel: 24x - BTL-B Y-Flügler
TEXT_STATBLOCK_BTLB_YWING_SQUADRON_HALF,Staffel: 6x - BTL-B Y-Flügler
TEXT_STATBLOCK_BTLS1_YWING_SQUADRON,TRANSLATE:Squadron: 12x - BTL-S1 Y-wing
TEXT_STATBLOCK_BTLS1_YWING_SQUADRON_DOUBLE,TRANSLATE:Squadron: 24x - BTL-S1 Y-wing
TEXT_STATBLOCK_BTLS1_YWING_SQUADRON_HALF,TRANSLATE:Squadron: 6x - BTL-S1 Y-wing
TEXT_STATBLOCK_CLOAKSHAPE_BASE,Gesundheit: 18 | Schilde: 4
TEXT_STATBLOCK_CLOAKSHAPE_CW_BASE,Gesundheit: 18 | Ungepanzert
TEXT_STATBLOCK_CLOAKSHAPE_CW_MOVE,Geschwindigkeit: 4,8 | Wendigkeit: 3,6
TEXT_STATBLOCK_CLOAKSHAPE_CW_WEAP1,1x Jäger-Laserkanone: 4 / 2,0s / 1,0km
TEXT_STATBLOCK_CLOAKSHAPE_CW_WEAP2,1x Lenk-Raketensprengkopf: 1 / 25,0s / 1,8km
TEXT_STATBLOCK_CLOAKSHAPE_SQUADRON,Staffel: 12x - Tarnform
TEXT_STATBLOCK_CLOAKSHAPE_SQUADRON_DOUBLE,Staffel: 24x - Tarnform
TEXT_STATBLOCK_CLOAKSHAPE_SQUADRON_HALF,Staffel: 6x - Tarnform
TEXT_STATBLOCK_CLOAKSHAPE_SQUADRON_TRIPLE,Staffel: 36x - Tarnform
TEXT_STATBLOCK_CLOAKSHAPE_STOCK_BASE,Gesundheit: 15 | Ungepanzert
TEXT_STATBLOCK_CLOAKSHAPE_STOCK_MOVE,Geschwindigkeit: 4,3 | Wendigkeit: 3,2
TEXT_STATBLOCK_CLOAKSHAPE_STOCK_WEAP1,1x Jäger-Laserkanone: 4 / 2,0s / 1,0km
TEXT_STATBLOCK_CLOAKSHAPE_WEAP2,1x Lenk-Raketensprengkopf: 1 / 18,75s / 1,8km
TEXT_STATBLOCK_H_WING_BASE,Gesundheit: 25 | Schilde: 13
TEXT_STATBLOCK_H_WING_MOVE,Geschwindigkeit: 4,5 | Wendigkeit: 2,95
TEXT_STATBLOCK_H_WING_SQUADRON,Staffel: 12x - H-Kanonenboot
TEXT_STATBLOCK_H_WING_SQUADRON_DOUBLE,Staffel: 24x - H-Kanonenboot
TEXT_STATBLOCK_H_WING_SQUADRON_HALF,Staffel: 6x
TEXT_STATBLOCK_H_WING_WEAP1,1x Schwerer Jäger-Laserkanone: 2 / 2,0s / 1,0km
TEXT_STATBLOCK_H_WING_WEAP2,1x Jäger-Ionenkanone: 4 / 3,0s / 1,0km
TEXT_STATBLOCK_H_WING_WEAP3,1x Protonenrakete (AC): 1 / 15,0s / 3,0km
TEXT_STATBLOCK_H_WING_WEAP4,1x Erschütterungsbombe (AC): 1 / 15,0s / 0,8km
TEXT_STATBLOCK_I_BEAM_BASE,TRANSLATE:Health: 17 | Unshielded
TEXT_STATBLOCK_I_BEAM_MOVE,TRANSLATE:Speed: 5.2 | Maneuverability: 4.5
TEXT_STATBLOCK_I_BEAM_SQUADRON,TRANSLATE:Squadron: 12x - I-BEAM Star Fighter
TEXT_STATBLOCK_I_BEAM_SQUADRON_DOUBLE,TRANSLATE:Squadron: 24x - I-BEAM Star Fighter
TEXT_STATBLOCK_I_BEAM_SQUADRON_HALF,TRANSLATE:Squadron: 6x - I-BEAM Star Fighter
TEXT_STATBLOCK_I_BEAM_WEAP1,TRANSLATE:1x Fighter Laser Cannon: 4 / 3.0s / 1.0km
TEXT_STATBLOCK_I_BEAM_WEAP2,TRANSLATE:1x Fighter Laser Cannon: 2 / 3.0s / 1.0km
TEXT_STATBLOCK_MANKVIM_BASE,Gesundheit: 7 | Unshielded
TEXT_STATBLOCK_MANKVIM_MOVE,Geschwindigkeit: 5,1 | Manövrierbarkeit: 5,1
TEXT_STATBLOCK_MANKVIM_SQUADRON,Staffel: 12x - Mankvim-814 Leichter Abfangjäger
TEXT_STATBLOCK_MANKVIM_SQUADRON_DOUBLE,Staffel: 24x - Mankvim-814 Leichter Abfangjäger
TEXT_STATBLOCK_MANKVIM_SQUADRON_HALF,Staffel: 6x - Mankvim-814 Leichter Abfangjäger
TEXT_STATBLOCK_MANKVIM_WEAP1,1x Jäger-Laserkanone: 4 / 2,0s / 1,0km
TEXT_STATBLOCK_MORNINGSTAR_A_BASE,Gesundheit: 16 | Ungepanzert
TEXT_STATBLOCK_MORNINGSTAR_A_MOVE,Geschwindigkeit: 4,85 | Wendigkeit: 3,2
TEXT_STATBLOCK_MORNINGSTAR_A_SQUADRON,Staffel: 12x - MorningStar-A Sternjäger
TEXT_STATBLOCK_MORNINGSTAR_A_SQUADRON_DOUBLE,Staffel: 24x - MorningStar-A Sternjäger
TEXT_STATBLOCK_MORNINGSTAR_A_SQUADRON_HALF,Staffel: 6x - MorningStar-A Sternjäger
TEXT_STATBLOCK_MORNINGSTAR_A_WEAP1,1x Jäger-Laserkanone: 4 / 3,0s / 1,0km
TEXT_STATBLOCK_MORNINGSTAR_A_WEAP2,1x Jäger-Laserkanone: 2 / 3,0s / 1,0km
TEXT_STATBLOCK_MORNINGSTAR_A_WEAP3,1x Jäger-Angriffs-Erschütterungsrakete: 1 / 75,0s / 1,8km
TEXT_STATBLOCK_MORNINGSTAR_B_BASE,Gesundheit: 17 | Ungepanzert
TEXT_STATBLOCK_MORNINGSTAR_B_MOVE,Geschwindigkeit: 3,64 | Wendigkeit: 2,56
TEXT_STATBLOCK_MORNINGSTAR_B_SQUADRON,Staffel: 12x - MorningStar-B Sternjäger
TEXT_STATBLOCK_MORNINGSTAR_B_SQUADRON_DOUBLE,Staffel: 24x - MorningStar-B Sternjäger
TEXT_STATBLOCK_MORNINGSTAR_B_SQUADRON_HALF,Staffel: 6x - MorningStar-B Sternjäger
TEXT_STATBLOCK_MORNINGSTAR_B_WEAP1,1x Schwere Jäger-Laserkanone: 4 / 3,0s / 1,0km
TEXT_STATBLOCK_MORNINGSTAR_B_WEAP2,1x Schwere Jäger-Laserkanone: 2 / 3,0s / 1,0km
TEXT_STATBLOCK_MORNINGSTAR_B_WEAP3,1x Jäger-Laserkanone: 4 / 3,0s / 1,0km
TEXT_STATBLOCK_MORNINGSTAR_B_WEAP4,1x Jäger-Laserkanone: 2 / 3,0s / 1,0km
TEXT_STATBLOCK_MORNINGSTAR_C_BASE,Gesundheit: 18 | Ungepanzert
TEXT_STATBLOCK_MORNINGSTAR_C_MOVE,Geschwindigkeit: 4,37 | Wendigkeit: 2,88
TEXT_STATBLOCK_MORNINGSTAR_C_SQUADRON,Staffel: 12x - MorningStar-C Sternjäger
TEXT_STATBLOCK_MORNINGSTAR_C_SQUADRON_DOUBLE,Staffel: 24x - MorningStar-C Sternjäger
TEXT_STATBLOCK_MORNINGSTAR_C_SQUADRON_HALF,Staffel: 6x - MorningStar-C Sternjäger
TEXT_STATBLOCK_MORNINGSTAR_C_WEAP1,1x Schwere Jäger-Laserkanone: 4 / 3,0s / 1,0km
TEXT_STATBLOCK_MORNINGSTAR_C_WEAP2,1x Schwere Jäger-Laserkanone: 2 / 3,0s / 1,0km
TEXT_STATBLOCK_MORNINGSTAR_C_WEAP3,1x Proton Rocket (AC): 1 / 30.0s / 3.0km
TEXT_STATBLOCK_MORNINGSTAR_C_WEAP4,1x Concussion Bomb (AC): 1 / 30.0s / 0.8km
TEXT_STATBLOCK_N1_BASE,Gesundheit: 11 | Schilde: 5
TEXT_STATBLOCK_N1_MOVE,Geschwindigkeit: 5.63 | Manövrierfähigkeit: 3.6
TEXT_STATBLOCK_N1_SQUADRON,Staffel: 12x - N-1 Sternjäger
TEXT_STATBLOCK_N1_SQUADRON_DOUBLE,Staffel: 24x - N-1 Sternjäger
TEXT_STATBLOCK_N1_SQUADRON_HALF,Staffel: 6x - N-1 Sternjäger
TEXT_STATBLOCK_N1_WEAP1,1x Jägerlaserkanone: 4 / 2,0s / 1,0km
TEXT_STATBLOCK_N1_WEAP2,1x Jäger-Protonentorpedo: 1 / 30,0s / 1,8km
TEXT_STATBLOCK_R22_SPEARHEAD_BASE,Gesundheit: 8 | Schilde: 3
TEXT_STATBLOCK_R22_SPEARHEAD_MOVE,Geschwindigkeit: 5,9 | Manövrierfähigkeit: 4,1
TEXT_STATBLOCK_R22_SPEARHEAD_SQUADRON,Staffel: 12x - R-22 Speerspitze
TEXT_STATBLOCK_R22_SPEARHEAD_SQUADRON_DOUBLE,Staffel: 24x - R-22 Speerspitze
TEXT_STATBLOCK_R22_SPEARHEAD_SQUADRON_HALF,Staffel: 6x - R-22 Speerspitze
TEXT_STATBLOCK_R22_SPEARHEAD_WEAP1,1x Jägerlaserkanone: 4 / 2,0s / 1,0km
TEXT_STATBLOCK_SKIPRAY_BASE,Gesundheit: 32 | Schilde: 18
TEXT_STATBLOCK_SKIPRAY_MOVE,Geschwindigkeit: 5,59 | Manövrierfähigkeit: 3,2
TEXT_STATBLOCK_SKIPRAY_SQUADRON,Staffel: 12x - Skipray Blastboat
TEXT_STATBLOCK_SKIPRAY_SQUADRON_DOUBLE,Staffel: 24x - Skipray Blastboat
TEXT_STATBLOCK_SKIPRAY_SQUADRON_HALF,Staffel: 6x - Skipray Blastboat
TEXT_STATBLOCK_SKIPRAY_SQUADRON_THREE,Staffel: 3x - Skipray Blastboat
TEXT_STATBLOCK_SKIPRAY_WEAP1,1x Jägerlaserkanone: 4 / 2,0s / 1,0km
TEXT_STATBLOCK_SKIPRAY_WEAP2,1x Jägerionenkanone: 3 / 2,0s / 1,0km
TEXT_STATBLOCK_SKIPRAY_WEAP3,1x Jäger-Erschütterungsrakete (AF): 2 / 25,0s / 1,8km
TEXT_STATBLOCK_SKIPRAY_WEAP4,1x Schwerer Jäger-Protonentorpedo (AC): 2 / 37,5s / 1,4km
TEXT_STATBLOCK_SKIPRAYG_BASE,Gesundheit: 32 | Schilde: 17
TEXT_STATBLOCK_SKIPRAYG_MOVE,Geschwindigkeit: 4.47 | Wendigkeit: 2.56
TEXT_STATBLOCK_SKIPRAYJ_WEAP3,1x Jäger-Stoßrakete (AF): 2 / 16.7s / 1.8km
TEXT_STATBLOCK_SKIPRAYJ_WEAP4,1x Schwerer Jäger-Protonentorpedo (AC): 2 / 25.0s / 1.4km
TEXT_STATBLOCK_TIE_BOMBER_BASE,Gesundheit: 19 | Unshielded
TEXT_STATBLOCK_TIE_BOMBER_MOVE,Geschwindigkeit: 3.57 | Wendigkeit: 4.3
TEXT_STATBLOCK_TIE_BOMBER_SQUADRON,Staffel: 12x - TIE-Bomber
TEXT_STATBLOCK_TIE_BOMBER_SQUADRON_DOUBLE,Staffel: 24x - TIE-Bomber
TEXT_STATBLOCK_TIE_BOMBER_SQUADRON_HALF,Staffel: 6x - TIE-Bomber
TEXT_STATBLOCK_TIE_BOMBER_WEAP1,1x Jäger-Laserkanone: 4 / 2.0s / 1.0km
TEXT_STATBLOCK_TIE_BOMBER_WEAP2,1x Jäger-Stoßrakete (AF): 1 / 15.0s / 1.8km
TEXT_STATBLOCK_TIE_BOMBER_WEAP3,1x Protonenrakete (AC): 1 / 18.75s / 3.0km
TEXT_STATBLOCK_TIE_BOMBER_WEAP4,1x Stoßbombe (AC): 1 / 18.75s / 0.8km
TEXT_STATBLOCK_TIE_FIGHTER_BASE,Gesundheit: 10 | Unshielded
TEXT_STATBLOCK_TIE_FIGHTER_MOVE,Geschwindigkeit: 6.15 | Wendigkeit: 5.0
TEXT_STATBLOCK_TIE_FIGHTER_SQUADRON,Staffel: 12x - TIE-Jäger
TEXT_STATBLOCK_TIE_FIGHTER_SQUADRON_DOUBLE,Staffel: 24x - TIE-Jäger
TEXT_STATBLOCK_TIE_FIGHTER_SQUADRON_HALF,Staffel: 6x - TIE-Jäger
TEXT_STATBLOCK_TIE_FIGHTER_SQUADRON_THIRD,Staffel: 4x - TIE-Jäger
TEXT_STATBLOCK_TIE_FIGHTER_WEAP1,1x Jäger-Laserkanone: 4 / 2.0s / 1.0km
TEXT_STATBLOCK_TIE_STARFIGHTER_BASE,Gesundheit: 11 | Unshielded
TEXT_STATBLOCK_TIE_STARFIGHTER_MOVE,Geschwindigkeit: 5.9 | Wendigkeit: 4.5
TEXT_STATBLOCK_TIE_STARFIGHTER_SQUADRON,Staffel: 12x - TIE-Sternjäger
TEXT_STATBLOCK_TIE_STARFIGHTER_SQUADRON_DOUBLE,Staffel: 24x - TIE-Sternjäger
TEXT_STATBLOCK_TIE_STARFIGHTER_SQUADRON_HALF,Staffel: 6x - TIE Sternenjäger
TEXT_STATBLOCK_TIE_STARFIGHTER_WEAP1,1x Jäger-Laserkanone: 4 / 2,0s / 1,0km
TEXT_STATBLOCK_VWING_BASE,Leben: 9 | Schilde: 4
TEXT_STATBLOCK_VWING_MISSILE_SQUADRON,Staffel: 12x - Raketen-V-wing
TEXT_STATBLOCK_VWING_MOVE,Geschwindigkeit: 7,2 | Manövrierbarkeit: 4,4
TEXT_STATBLOCK_VWING_SQUADRON,Staffel: 12x - V-wing
TEXT_STATBLOCK_VWING_SQUADRON_DOUBLE,Staffel: 24x - V-wing
TEXT_STATBLOCK_VWING_SQUADRON_HALF,Staffel: 6x - V-wing
TEXT_STATBLOCK_VWING_WEAP1,1x Jäger-Laserkanone: 4 / 2,0s / 1,0km
TEXT_STATBLOCK_VWING_WEAP2,1x Erschütterungsrakete: 1 / 150,0s / 1,8km
TEXT_STATBLOCK_WARPOD_BASE,Leben: 22 | Schilde: 10
TEXT_STATBLOCK_WARPOD_MOVE,Geschwindigkeit: 4,05 | Manövrierbarkeit: 2,95
TEXT_STATBLOCK_WARPOD_SQUADRON,Staffel: 12x - #2 Warpod
TEXT_STATBLOCK_WARPOD_SQUADRON_DOUBLE,Staffel: 24x - #2 Warpod
TEXT_STATBLOCK_WARPOD_SQUADRON_HALF,Staffel: 6x - #2 Warpod
TEXT_STATBLOCK_WARPOD_WEAP1,1x Jäger-Laserkanone: 2 / 2,0s / 1,0km
TEXT_STATBLOCK_WARPOD_WEAP2,1x Protonenrakete (AC): 1 / 30,0s / 3,0km
TEXT_STATBLOCK_WARPOD_WEAP3,1x Erschütterungsbombe (AC): 1 / 30,0s / 0,8km
TEXT_STATBLOCK_YWING_BASE,Leben: 20 | Schilde: 12
TEXT_STATBLOCK_YWING_ESCORT_BASE,Leben: 100 | Schilde: 60
TEXT_STATBLOCK_YWING_MOVE,Geschwindigkeit: 4,05 | Manövrierbarkeit: 2,95
TEXT_STATBLOCK_YWING_SALM_BASE,Leben: 200 | Schilde: 120
TEXT_STATBLOCK_YWING_SHADOW_BASE,Leben: 25 | Schilde: 15
TEXT_STATBLOCK_YWING_SQUADRON,Staffel: 12x - Y-wing
TEXT_STATBLOCK_YWING_SQUADRON_DOUBLE,Staffel: 24x - Y-Flügler
TEXT_STATBLOCK_YWING_SQUADRON_HALF,Staffel: 6x - Y-Flügler
TEXT_STATBLOCK_YWING_WEAP1,1x Jäger-Laserkanone: 4 / 2,0s / 1,0km
TEXT_STATBLOCK_YWING_WEAP2,1x Jäger-Ionenkanone: 2 / 2,0s / 1,0km
TEXT_STATBLOCK_YWING_WEAP3,1x Protonenrakete (AC): 1 / 30,0s / 3,0km
TEXT_STATBLOCK_YWING_WEAP4,1x Erschütterungsbombe (AC): 1 / 30,0s / 0,8km
TEXT_STATBLOCK_YWINGB_BASE,Gesundheit: 22 | Schilde: 12
TEXT_STATBLOCK_YWINGB_MOVE,Geschwindigkeit: 3,65 | Manövrierbarkeit: 2,75
TEXT_STATBLOCK_YWINGS1_MOVE,TRANSLATE:Speed: 3.85 | Maneuverability: 2.85
TEXT_STATBLOCK_Z95_BASE,Gesundheit: 10 | Schilde: 2
TEXT_STATBLOCK_Z95_BOMBER_BASE,Gesundheit: 10 | Schilde: 4
TEXT_STATBLOCK_Z95_BOMBER_MOVE,Geschwindigkeit: 3,34 | Manövrierbarkeit: 3,16
TEXT_STATBLOCK_Z95_BOMBER_SQUADRON,Staffel: 12x - Z-95-Bomber
TEXT_STATBLOCK_Z95_BOMBER_SQUADRON_DOUBLE,Staffel: 24x - Z-95-Bomber
TEXT_STATBLOCK_Z95_BOMBER_SQUADRON_HALF,Staffel: 6x - Z-95-Bomber
