BOARDING_KATANA,Boarding hat begonnen...
GW_NR_AAC,Früher New-Republic-Infanterie-Platoon
GW_NR_AAD,Früher New-Republic-Medizingruppe
GW_NR_AAE,Mechanisierter New-Republic-Marine-Platoon
GW_NR_AAF,New-Republic-Schnell-Repulsor-Angriffsgruppe
GW_NR_AAG,New-Republic-Unterstützungsgruppe
GW_NR_AAH,Später New-Republic-Verstärkter Gewehr-Platoon
GW_NR_AAI,Später New-Republic-Luftbeweglicher Platoon
GW_NR_AAJ,New-Republic-Flottenunterstützter Panzertross
GW_NR_AAK,New-Republic-T-47-Luftgleiter-Flug
GW_NR_AAL,New-Republic-Armee-Garnison
GW_NR_AAM,New-Republic-von Jedi angeführtes Flottenangriffsteam
GW_NR_AAN,New-Republic-Gemischter Panzer-Squadron
GW_NR_AAO,New-Republic-Schwerer Repulsor-Geschwader
GW_NR_AAP,New-Republic-V-Flügelflug
GW_NR_AAQ,New-Republic-Verstärkte Artilleriebatterie
GW_NR_AAR,New-Republic-Atmosphären-Angriffsgruppe
GW_NR_AAS,New-Republic-Schwerer Panzer-Squadron
GW_NR_AAT,TRANSLATE:New Republic Reinforced T-47 Wing
GW_PA_AAA,TRANSLATE:Pentastar Army Platoon
GW_PA_AAB,TRANSLATE:Pentastar Enforcer Garrison
GW_PA_AAC,TRANSLATE: Pentastar Infantry Hunter Team
GW_PA_AAD,TRANSLATE:Pentastar Support Platoon
GW_PA_AAE,TRANSLATE:Pentastar Light Walker Platoon 
GW_PA_AAF,TRANSLATE:Reinforced Intelligence Security Raid
GW_PA_AAG,TRANSLATE:Pentastar Light Strike Squad
GW_PA_AAH,TRANSLATE:Pentastar Anti-Air Battery
GW_PA_AAI,TRANSLATE:Pentastar Security Company
GW_PA_AAJ,TRANSLATE:Pentastar Tracked Platoon
GW_PA_AAK,TRANSLATE:Augmented Army Commando Team
GW_PA_AAL,TRANSLATE:Augmented Pentastar COMPNOR Company
GW_PA_AAM,TRANSLATE:Pentastar Heavy Assault Company
GW_PA_AAN,TRANSLATE:Pentastar Air Assault Platoon
GW_PA_AAO,TRANSLATE:Pentastar Artillery Battery
GW_PA_AAP,TRANSLATE:Pentastar Siege Breaker Unit
GW_PA_AAQ,TRANSLATE:Inquisitorial Assault Company
GW_PA_AAR,TRANSLATE:Pentastar Security Force 
GW_ZSINJ_AAA,TRANSLATE:Zsinj Army Platoon
GW_ZSINJ_AAB,TRANSLATE:Zsinj Army Detachment
GW_ZSINJ_AAC,TRANSLATE:Elite Raptor Scouting Corps
GW_ZSINJ_AAD,TRANSLATE:Zsinj Imperial Compliance Task Force (ZICTF)
GW_ZSINJ_AAE,TRANSLATE:Zsinj Support Platoon
GW_ZSINJ_AAF,TRANSLATE:Zsinj Repulsor Reconnaissance Platoon. 
GW_ZSINJ_AAG,TRANSLATE:Zsinj Light Armour Platoon
GW_ZSINJ_AAH,TRANSLATE:Zsinj Loyalty Assurance Detachment
GW_ZSINJ_AAI,TRANSLATE:Zsinj Elite Infantry Battalion
GW_ZSINJ_AAJ,TRANSLATE:Zsinj Anti Anti Air Battery 
GW_ZSINJ_AAK,TRANSLATE:Zsinj Army Infantry Division
GW_ZSINJ_AAL,TRANSLATE:Zsinj Elite Army Infantry Division
GW_ZSINJ_AAM,TRANSLATE:Zsinj Artillery Battery
GW_ZSINJ_AAN,TRANSLATE:Zsinj Self Light Direct Fire Artillery Battery. 
GW_ZSINJ_AAO,TRANSLATE:Black Ops Team
GW_ZSINJ_AAP,TRANSLATE:Zsinj Ground Assault Army
MB_FOTG_SPACE_CORUSCANT_EVACUATION,Eine neue Bedrohung erhebt sich am Horizont, als große Flotten, die für verloren gehalten wurden, plötzlich auftauchen und New-Republic-Welten im Kern angreifen. Unter der Führung von General Garm Bel Iblis tut die New-Republic-Verteidigungsflotte alles, um den Fall von Coruscant so lange wie möglich zu verzögern und den letzten Schiffen die Möglichkeit zu geben, das System zu verlassen, während sich die vereinten Warlord-Flotten Coruscant nähern...
MB_FOTG_SPACE_KATANA_BATTLE,Die Katana-Flotte war eine Einsatzgruppe von zweihundert Dreadnaught-Klasse-Schweren Kreuzern, die von der Galaktischen Republik während ihrer letzten Jahrzehnte ins Leben gerufen wurde, um einen Versuch zu unternehmen, die Republik-Navy wieder zu ihrem lange vergangenen Ruhm zu führen. Die Flotte ging jedoch auf ihrer Jungfernfahrt verloren, als ein Schwarmvirus ihre Besatzungen wahnsinnig machte und der Kapitän der Einsatzgruppe die Schiffe blindlings in den Hyperraum sprang.
MB_LAND_PLANET_BYSS_02,TRANSLATE:Still suffering from the devastating advance of Operation Shadow Hand, the New Republic has hatched a daring gambit. Using intel leaked by Balmorran Governor Beltane, Wedge Antilles and Lando Calrissian with a squad of commandos have infiltrated a transport of the new X-1 Viper Droids headed for the Emperor's citadel on Byss. Their objective is simple: wreck as much havoc using these hijacked vehicles as possible, and bring the rotting roof of the Emperor down on top of him.
MT_FOTG_SPACE_CORUSCANT_EVACUATION,Evakuierung von Coruscant
MT_FOTG_SPACE_KATANA_BATTLE,Katana-Flotte
MT_LAND_PLANET_BYSS_02,TRANSLATE:Battle of Byss
SET_YOUR_GAME_LANGUAGE_TO_ENGLISH_IF_YOU_READ_THIS,Die Mod wurde am 21. April auf 3.2 aktualisiert. Speicherstände von 3.1 funktionieren nicht, eine Sicherung von 3.1 befindet sich in der Mod-Datenbank.
STAT_WORLD_DEVASTATOR_MATERIALS_1,TRANSLATE:Corvette: +1
STAT_WORLD_DEVASTATOR_MATERIALS_2,TRANSLATE:Frigate: +3
STAT_WORLD_DEVASTATOR_MATERIALS_3,TRANSLATE:Capital: +10
STAT_WORLD_DEVASTATOR_MATERIALS_4,TRANSLATE:Super Capital: +50
STAT_WORLD_DEVASTATOR_MATERIALS_5,TRANSLATE:Structure: +15
STAT_WORLD_DEVASTATOR_MATERIALS_6,TRANSLATE:Hero: +20
STAT_WORLD_DEVASTATOR_MATERIALS_DESCRIPTION,TRANSLATE:Gained by fielding World Devastators in space battles and destroying enemy units and structures [TACTICAL BATTLES-only]. When you gather enough of these, your World Devastator will upgrade. When you gather enough materials to upgrade a World Devastator Destroyer to a World Devastator Battlecruiser, it also spawns a World Devastator Frigate and the cycle repeats.
STAT_WORLD_DEVASTATOR_MATERIALS_HEADER,TRANSLATE:Materials per destroyed unit/structure:
STAT_WORLD_DEVASTATOR_MATERIALS_NAME,TRANSLATE:WORLD DEVASTATOR MATERIALS
TEXT_181ST_STELE_SQUADRON,Maarek Stele - 181.
TEXT_181ST_TIE_INTERCEPTOR_SQUADRON,Turr Phennir - 181.
TEXT_A_WING_SQUADRON,A-Flügel-Geschwader
TEXT_A_WING_SQUADRON_HALF,A-Flügel-Geschwader 1/2
TEXT_A_WING_SQUADRON2,A-Flügel-Geschwader x2
TEXT_ABILITY_BOARD,Feindliches Schiff entern
TEXT_ABILITY_BOARD_DESCRIPTION,Bereite die Truppen darauf vor, ein feindliches Schiff zu erobern. Das nächstgelegene geeignete Schiff wird markiert. Nach 5 Sekunden wird die Enteraktion entweder erfolgreich sein oder nicht, wobei die Chance auf Erfolg umso höher ist, je schwächer das Schiff ist. Überprüfe die Schiffbeschreibungen, um zu sehen, ob sie entert werden können. Nach dem Kampf wird das Schiff auf einem deiner Planeten umgerüstet, was im oberen linken Eck angezeigt wird, wenn du in den galaktischen Modus zurückkehrst.
TEXT_ABILITY_DEPLOY_ARMY,Armee-Truppen einsetzen
TEXT_ABILITY_DEPLOY_ARMY_DESCRIPTION,Eine Einheit von Armee-Truppen aus dem Transporter absetzen.
TEXT_ABILITY_DEPLOY_POLICE,Polizeieinheiten einsetzen
TEXT_ABILITY_DEPLOY_POLICE_DESCRIPTION,Eine Einheit von Polizei-Enforcern aus dem Transporter absetzen.
TEXT_ABILITY_RETREAT_HIMS_DESCRIPTION,Diese Einheit macht nach einer Aufladephase einen Notfall-Sprung aus dem System und kehrt zu einem deiner kontrollierten Planeten zurück. Aufgrund des Hyperwellen-Inertialmoment-Stabilisators des Schiffs kann dieser Sprung ausgeführt werden, während Interdiktoren aktiv sind.
TEXT_ALPHA_STELE_SQUADRON,Alpha-Staffel
TEXT_B_WING_SQUADRON,B-Wing-Staffel
TEXT_B_WING_SQUADRON_HALF,B-Wing-Staffel 1/2
TEXT_B_WING_SQUADRON2,B-Wing-Staffel x2
TEXT_B_WINGE_SQUADRON,B-Wing/E-Staffel
TEXT_B_WINGE_SQUADRON_HALF,B-Wing/E-Staffel 1/2
TEXT_B_WINGE_SQUADRON2,B-Wing/E-Staffel x2
TEXT_BAKURAN_GPA_SQUADRON,TRANSLATE:General Purpose Attack Fighter Squadron
TEXT_BAKURAN_GPA_SQUADRON_HALF,TRANSLATE:General Purpose Attack Fighter Squadron 1/2
TEXT_BAKURAN_GPA_SQUADRON2,TRANSLATE:General Purpose Attack Fighter Squadron x2
TEXT_BLACK_WING_INTERCEPTOR,Black-Wing-Staffel TIE-Abfangjäger
TEXT_BREN_SQUADRON,Tomax Bren - Weiße Todesschwadron
TEXT_CAMPAIGN_CAAMAS_THRAWN_RUMORS,Untersuche die Gerüchte über Thrawns Rückkehr auf Nirauan
TEXT_CAMPAIGN_DIVIDER_PROGRESSIVE,Die progressiven Karten der Ära repräsentieren die meisten Gebiete, Zeiträume und Fraktionen des Mods. Im Laufe der Zeit werden Ereignisse, Einheitensperren und -freischaltungen sowie Forschungen ausgelöst, die die umfassende Geschichte der Star Wars-Galaxie widerspiegeln.\n\n---\n\nDie Startepoche kann so konfiguriert werden, dass sich das Planetenlayout der Karte sowie das Territorium und die Streitkräfte jeder Fraktion ändern. Das Territorium wird hervorgehoben, um die spielbaren Fraktionen ungefähr gleichberechtigt zu halten.\n\n---\n\nVollständige Galaxiekarten enthalten die Unbekannten Regionen und haben insgesamt etwas mehr Planeten. Bekannte Galaxie-Karten haben keine Unbekannten Regionen, aber mehr Planeten im bekannten Raum.
TEXT_CAMPAIGN_EVENT_ERAS_DISCLAIMER,Vor Abschluss der Änderungsziele der Ära sollte beachtet werden, dass die Ära-Progression nicht immer vorteilhaft ist. Überlegen Sie sorgfältig, bevor Sie fortfahren. Nach einer bestimmten Zeit wird die Änderung der Ära automatisch mit denselben Auswirkungen wie der Tod des Anführers im Kampf erfolgen.
TEXT_CAMPAIGN_EVENT_ERAS_DISCLAIMER2,TRANSLATE:Warning: Entering Dark Empire will lock you into your existing regime for the rest of the game.
TEXT_CAMPAIGN_EVENT_ERAS_EMPIRE,TRANSLATE:As the Empire, you will have several regime options you may choose from on top of ones you may acquire from integrating rival Imperials. Sate Pestage is the first you start with, and after some time you can transition to either Isard or the Central Committee of Grand Moffs, and after either of those ending with Grand Admiral Thrawn. Each regime comes with a unique set of heroes and also include minor changes to your roster.
TEXT_CAMPAIGN_EVENT_ERAS_EMPIRE_FINAL,TRANSLATE:This is final Imperial Regime.
TEXT_CAMPAIGN_EVENT_PROGRESS_DAALA_LOSS,TRANSLATE:Daala's regime will remove all Crimson Empire heroes:
TEXT_CAMPAIGN_EVENT_PROGRESS_DAALA_LOSS_HERO,TRANSLATE:HEROES: Carnor Jax, Redd Wessel, Jeratai, Immodet, Xexus Shev, Mahd Windcaller, Lord Manos, Kooloota-Fyf, Prince Za. 
TEXT_CAMPAIGN_EVENT_PROGRESS_DAALA_SSD,TRANSLATE:Integrated Eriadu Authority will allow to upgrade Daala's Gorgon to Knight Hammer.
TEXT_CAMPAIGN_EVENT_PROGRESS_DAALA_VOLUNTARY,Wenn Sie die Build-Option abschließen, wird Daala das Kommando über die imperialen Streitkräfte von der Gorgon übernehmen.
TEXT_CAMPAIGN_EVENT_PROGRESS_JAX_CLONING_FACILITY,TRANSLATE:If either Palpatine dies or the Emperor's Cloning Facility is destroyed, Dark Empire will end and you will automatically go into Carnor Jax's regime.
TEXT_CAMPAIGN_EVENT_PROGRESS_JAX_LOSS,TRANSLATE:Carnox Jax's regime will lock several Dark Empire units and remove all Dark Empire heroes:
TEXT_CAMPAIGN_EVENT_PROGRESS_JAX_LOSS_HERO,TRANSLATE:HEROES: Emperor Palpatine, Sedriss QL, Maximilian Veers, Grath, Nahdonnis Praji, Umak Leth, Gilan Pellaeon, Cronal, Titus Klev.
TEXT_CAMPAIGN_EVENT_PROGRESS_JAX_LOSS_UNIT,TRANSLATE:UNIT: Eclipse, Sovereign, Hunter-Killer Probot, CompForce Assault Trooper, Dark Stormtrooper, Dark Jedi, Chrysalide Beast.
TEXT_CAMPAIGN_EVENT_PROGRESS_JAX_VOLUNTARY,Wenn Sie durch die Hilfe von Jax und den Abschluss der Build-Option fortschreiten, erhalten Sie seine Helden früher. (Weitere Vorteile in späteren Versionen)
TEXT_CAMPAIGN_EVENT_PROGRESS_PALPATINE_UNITS,TRANSLATE:UNLOCKS: Eclipse, Sovereign, MTC Support, MTC Sensor, Hunter-Killer Probot, CompForce Assault Trooper, Dark Stormtrooper, Dark Jedi, Chrysalide Beast, XR-85.
TEXT_CAMPAIGN_EVENT_PROGRESS_PALPATINE_VOLUNTARY,Nach Abschluss der relevanten Build-Option wird Palpatine Ihren Streitkräften beitreten und das Dunkle Imperium wird gebildet. Die Eclipse und mehrere andere neue Build-Optionen können mit einer Stufe 4 Werft gebaut werden. Für das Imperium bleibt der Anführer von Pestage, Isard oder Thrawn unter Palpatines Herrschaft an der Macht.
TEXT_CAMPAIGN_EVENT_PROGRESS_PELLAEON_LOSS,TRANSLATE:WARNING: The following will be lost upon transition into the next regime:
TEXT_CAMPAIGN_EVENT_PROGRESS_PELLAEON_LOSS_DAALA,TRANSLATE:If Daala dies before the Pellaeon regime option is completed, you will not acquire her Venator form into the next regime!
TEXT_CAMPAIGN_EVENT_PROGRESS_PELLAEON_LOSS_HERO,TRANSLATE:HEROES: Natasi Daala (ISD I / Executor), Ardax, Fredja, Odosk, Tol Sivron.
TEXT_CAMPAIGN_EVENT_PROGRESS_PELLAEON_SSD,TRANSLATE:Integrated Pentastar Alignment will allow to upgrade Pellaeon's Chimaera to Reaper.
TEXT_CAMPAIGN_EVENT_PROGRESS_PELLAEON_SSD2,TRANSLATE:Alternative Upgrade: Upgrade Pellaeon's Chimaera (ISD II) to Megador (Mandator III).
TEXT_CAMPAIGN_EVENT_PROGRESS_PELLAEON_SSD3,TRANSLATE:Regime Progression Upgrade: Upgrade Rogriss' Agonizer (ISD I) to Dominion (Bellator).
TEXT_CAMPAIGN_EVENT_PROGRESS_PELLAEON_VOLUNTARY,Wenn Sie die Bauoption abschließen, wird Pellaeon das Kommando über die imperialen Streitkräfte übernehmen und Daala wird später mit anderen Truppen zu Ihrem Dienst zurückkehren.
TEXT_CAMPAIGN_EVENT_PROGRESS_THRAWN_CIUTRIC_HEGEMONY,TRANSLATE:- Ciutric Hegemony will take control of the following planets if the Empire controls them. [ Ciutric IV, Vrosynri VIII, Corvis Minor IV ]
TEXT_CAMPAIGN_EVENT_PROGRESS_THRAWN_FAILURE,TRANSLATE:After Thrawn's death:
TEXT_CAMPAIGN_EVENT_PROGRESS_THRAWN_HERO_LOSS,TRANSLATE:The following heroes will be lost after Grand Admiral Thrawn's return depending on your current regime:
TEXT_CAMPAIGN_EVENT_PROGRESS_THRAWN_HERO_LOSS_CCOGM,TRANSLATE:Central Committee of Grand Moffs: Bertroff Hissa, Trioculus, Teren Rogriss, Kadann, Jedgar, Dunhausen, Thistleborn, Muzzer and Lanox.
TEXT_CAMPAIGN_EVENT_PROGRESS_THRAWN_HERO_LOSS_ISARD,TRANSLATE:Isard: Ysanne Isard, Teren Rogriss, Ait Convarion, Fliry Vorru, Malcor Brashin, Tal Ashen.
TEXT_CAMPAIGN_EVENT_PROGRESS_THRAWN_NO_REGIME,TRANSLATE:No further regimes will be available outside ones gained from integrating Imperial faction.
TEXT_CAMPAIGN_EVENT_PROGRESS_THRAWN_UNITS,TRANSLATE:Thrawn's Regime Unlocks: Boarding Shuttle, Ysalamiri Stormtrooper Squad (Mykyr) Noghri Assassin Squad (Honoghr), and if transitioning from the Central Committee, AT-PT and Beta ETR-3.
TEXT_CAMPAIGN_EVENT_PROGRESS_THRAWN_UNITS_LOSS,TRANSLATE:LOCKS: Executor-class Star Dreadnaught, but also: PX-10, Treaded Neutron Torch and Ye-4 Gunship if previously unlocked.
TEXT_CAMPAIGN_EVENT_PROGRESS_THRAWN_VOLUNTARY,Der Abschluss der Ära-Fortschritts-Build-Option führt dazu, dass Isard das Imperium (mit Lusankya) verlässt und Thrawn beitritt. Dadurch werden neue Build-Optionen eröffnet und neue Helden für das Imperiale Überbleibsel, die Neue Republik und das Imperium der Hand (falls vorhanden) bereitgestellt. Nach 60 Zyklen wird dieser Wechsel automatisch erfolgen.
TEXT_CAMPAIGN_EVENTLOG_NIGHTHAMMER_AVAILABLE,Die Night Hammer kann jetzt gebaut werden.
TEXT_CAMPAIGN_EVENTLOG_REGIMECHANGE,Imperialer Regimewechsel
TEXT_CAMPAIGN_EVENTLOG_ZEROCOMMANDEMERGE,Zero Command ist aufgetaucht, wenn Kalist VI vom Imperium kontrolliert wurde.
TEXT_CAMPAIGN_MALDROOD_HINT_ONE,Die Bellator kann nur auf Kuat und Fondor gebaut werden.
TEXT_CAMPAIGN_MALDROOD_HINT_ZSINJ,Wenn Sie Kuat kontrollieren, wenn Zsinj stirbt, wird Rogriss es für das Imperium zurückerobern.
TEXT_CAMPAIGN_OBJECTIVE_BALMORRA_MISSION,Infiltrieren Sie die Waffenlieferung.
TEXT_CAMPAIGN_OBJECTIVE_BALMORRA_MISSION_COMPLETE,Zevulon Veers: Das Einsatzteam hat Byss erreicht. Gib uns das Signal und wir werden die Festung des Imperators angreifen.
TEXT_CAMPAIGN_OBJECTIVE_BALMORRA_MISSION_DESCRIPTION,Bringen Sie Wedge Antilles oder Lando Calrissian nach Balmorra, um eine Einsatztruppe in einer Waffenlieferung nach Byss zu verstecken.
TEXT_CAMPAIGN_OBJECTIVE_BALMORRA_MISSION_DIALOG,Mon Mothma: Gouverneur Beltane von Balmorra hat den gefährlichen Plan vorgeschlagen, eine Einsatztruppe in einer der Waffenlieferungen zu schmuggeln, die das Imperium von ihm erpresst hat. Die Kriegsmaschinen können tief im Feindesgebiet aktiviert werden, weit jenseits unserer eigenen Flotte, um sie zu übernehmen. Die Generäle Antilles und Calrissian haben sich freiwillig gemeldet, um die Einsatztruppe zusammenzustellen, wenn wir einen von beiden nach Balmorra bringen können.
TEXT_CAMPAIGN_OBJECTIVE_BALMORRA_MISSION_LOST,Mon Mothma: Heute, unter so viel anderem Tod, müssen wir uns einen Moment Zeit nehmen, um uns an die tapferen Soldaten zu erinnern, die die Chance ergriffen haben, in das Herz der Dunkelheit einzudringen. Sie riskierten alles in einer geringen Chance, einen großen Schlag gegen das Imperium auszuführen, aber jeder Krieg ist unsicher, und diese tapferen Seelen haben den ultimativen Preis bezahlt.
TEXT_CAMPAIGN_OBJECTIVE_BALMORRA_MISSION_SET_OUT,Zevulon Veers: Wir sind versteckt und auf dem Weg. Der Transit wird einige Zeit dauern, aber die Imperialen werden nicht wissen, was sie getroffen hat, wenn wir ankommen.
TEXT_CAMPAIGN_OBJECTIVE_BALMORRA_MISSION_WON,Zevulon Veers: Wir haben es geschafft! Das Imperium wurde von Byss vertrieben!
TEXT_CAMPAIGN_OBJECTIVE_ECLIPSE,Konstruieren Sie die Eclipse.
TEXT_CAMPAIGN_OBJECTIVE_FIND_TANTISS,Finde den Berg Tantiss
TEXT_CAMPAIGN_OBJECTIVE_NEW_APPRENTICE,Ein neuer Lehrling
TEXT_CAMPAIGN_OBJECTIVE_NEW_APPRENTICE_DESCRIPTION,Besiege Luke Skywalker im Kampf, um ihn für Kaiser Palpatine gefangen zu nehmen.
TEXT_CAMPAIGN_OBJECTIVE_RAID_NKLLON,Überfall auf Nkllon
TEXT_CAMPAIGN_OBJECTIVE_SAVE_LUKE,Bringe Luke zurück ins Licht
TEXT_CAMPAIGN_OBJECTIVE_SAVE_LUKE_DESCRIPTION,Halte Leia am Leben und fange (oder töte) Luke Skywalker, um ihn davon zu überzeugen, zum Licht zurückzukehren.
TEXT_CAMPAIGN_OBJECTIVE_SECURE_HOFFNER,Folge den Wracks
TEXT_CAMPAIGN_SINGLE_20,Piratenherrschaft
TEXT_CAMPAIGN_SINGLE_25,Imperium umzingelt
TEXT_CAMPAIGN_SINGLE_30,Rollen umgekehrt
TEXT_CAMPAIGN_SINGLE_35,Imperium im Krieg
TEXT_CAMPAIGN_SINGLE_44,Galaktischer Konflikt
TEXT_CAMPAIGN_SINGLE_50,Der Konflikt beginnt
TEXT_CAMPAIGN_SINGLE_60,Die Fronten sind gezogen
TEXT_CAMPAIGN_SINGLE_ALIGN,6 VSY: Die Sterne stehen richtig
TEXT_CAMPAIGN_SINGLE_BFC,16-17 VSY: Die Krise der schwarzen Flotte
